Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 02:16:32.653,114476.6,0.182,BTCUSDT
2025-09-30 02:16:32.692,114476.7,0.023,BTCUSDT
2025-09-30 02:16:32.774,114476.6,0.2,BTCUSDT
2025-09-30 02:16:32.774,114476.6,0.001,BTCUSDT
2025-09-30 02:16:32.774,114476.6,0.528,BTCUSDT
2025-09-30 02:16:32.774,114476.6,0.607,BTCUSDT
2025-09-30 02:16:32.774,114476.6,0.001,BTCUSDT
2025-09-30 02:16:33.332,114476.6,0.002,BTCUSDT
2025-09-30 02:16:33.442,114476.7,0.004,BTCUSDT
2025-09-30 02:16:33.668,114476.6,0.03,BTCUSDT
2025-09-30 02:16:33.668,114476.6,0.016,BTCUSDT
